Method		Dimension	Matrix (sec)	Proj (sec)	Distance (sec)	Avg Distortion	Max Distortion	Theoretical Distortion	Above Distortion
Method		Dimension	Matrix (sec)	Proj (sec)	Distance (sec)	Avg Distortion	Max Distortion	Theoretical Distortion	Above Distortion
gaussian	1024		4.951287	8.464719	45.068352	0.035379	0.234188	0.366469		0.000000
gaussian	1024		5.007259	8.296904	44.021969	0.035460	0.223222	0.366469		0.000000
gaussian	1024		4.930004	8.502915	44.464230	0.035263	0.232093	0.366469		0.000000
gaussian	1024		4.941332	8.305749	43.652287	0.034839	0.219525	0.366469		0.000000
gaussian	1024		4.790084	8.232737	44.084743	0.034938	0.247086	0.366469		0.000000
gaussian	1024		5.070187	8.145333	45.021248	0.035196	0.253676	0.366469		0.000000
gaussian	1024		5.094215	8.900717	44.936928	0.034983	0.249894	0.366469		0.000000
gaussian	1024		5.052068	8.615439	46.179207	0.034573	0.224858	0.366469		0.000000
gaussian	1024		4.984378	8.213465	43.631180	0.034852	0.229126	0.366469		0.000000
gaussian	1024		4.838226	8.075424	44.348595	0.035443	0.259126	0.366469		0.000000
Method		Dimension	Matrix (sec)	Proj (sec)	Distance (sec)	Avg Distortion	Max Distortion	Theoretical Distortion	Above Distortion
gaussian	4096		19.007671	32.942387	173.525497	0.017605	0.114521	0.183235		0.000000
gaussian	4096		19.008492	32.594700	173.727615	0.017461	0.125265	0.183235		0.000000
gaussian	4096		20.307461	33.407066	178.093857	0.017436	0.118000	0.183235		0.000000
gaussian	4096		19.835939	32.741516	177.741516	0.017347	0.117880	0.183235		0.000000
gaussian	4096		19.716213	33.034622	178.743347	0.017506	0.125996	0.183235		0.000000
gaussian	4096		19.979120	33.694851	178.183075	0.017617	0.105181	0.183235		0.000000
gaussian	4096		20.293816	33.835361	181.838409	0.017725	0.129119	0.183235		0.000000
gaussian	4096		20.148605	33.782719	179.017029	0.017465	0.122620	0.183235		0.000000
gaussian	4096		19.579720	33.269089	178.454605	0.017704	0.114993	0.183235		0.000000
gaussian	4096		19.712835	33.588547	177.350204	0.017649	0.118434	0.183235		0.000000
Method		Dimension	Matrix (sec)	Proj (sec)	Distance (sec)	Avg Distortion	Max Distortion	Theoretical Distortion	Above Distortion
gaussian	16384		80.353760	140.299225	697.981079	0.008747	0.056909	0.091617		0.000000
gaussian	16384		78.973984	135.419937	701.693115	0.008876	0.062089	0.091617		0.000000
gaussian	16384		79.227768	132.118286	711.921387	0.008777	0.054688	0.091617		0.000000
gaussian	16384		79.242813	131.623779	686.047058	0.008737	0.057200	0.091617		0.000000
gaussian	16384		73.388046	128.578094	660.599060	0.008763	0.057189	0.091617		0.000000
gaussian	16384		73.248672	130.369812	659.994446	0.008784	0.056085	0.091617		0.000000
gaussian	16384		73.519958	127.894554	658.329834	0.008576	0.058150	0.091617		0.000000
gaussian	16384		73.052818	128.201981	658.307251	0.008633	0.055501	0.091617		0.000000
gaussian	16384		73.436028	128.007309	658.959717	0.008862	0.055738	0.091617		0.000000
gaussian	16384		73.459045	130.683029	718.217163	0.008768	0.064875	0.091617		0.000000
Method		Dimension	Matrix (sec)	Proj (sec)	Distance (sec)	Avg Distortion	Max Distortion	Theoretical Distortion	Above Distortion
achlioptas	4		0.002465	0.011457	0.249148	0.002231	7.038204	5.863509		0.000000
achlioptas	4		0.002172	0.009306	0.261200	0.523418	7.602301	5.863509		0.000015
achlioptas	4		0.002420	0.010630	0.267546	0.543832	7.581500	5.863509		0.000006
achlioptas	4		0.002174	0.009841	0.242754	0.543128	9.047729	5.863509		0.000035
achlioptas	4		0.002278	0.009626	0.257650	0.538888	7.987070	5.863509		0.000013
achlioptas	4		0.002350	0.009689	0.282830	0.545311	7.788419	5.863509		0.000017
achlioptas	4		0.002791	0.012198	0.293838	0.541029	7.273665	5.863509		0.000006
achlioptas	4		0.002785	0.012351	0.290097	0.534940	8.120670	5.863509		0.000018
achlioptas	4		0.002792	0.013808	0.286651	0.526001	7.293944	5.863509		0.000003
achlioptas	4		0.002841	0.012971	0.294934	0.522100	9.341928	5.863509		0.000028
Method		Dimension	Matrix (sec)	Proj (sec)	Distance (sec)	Avg Distortion	Max Distortion	Theoretical Distortion	Above Distortion
achlioptas	16		0.010121	0.037609	0.728845	0.001141	3.166863	2.931754		0.000000
achlioptas	16		0.009135	0.042195	0.705348	0.278964	2.883182	2.931754		0.000000
achlioptas	16		0.008913	0.043218	0.713492	0.274522	2.714375	2.931754		0.000000
achlioptas	16		0.009671	0.047758	0.699608	0.282357	2.807572	2.931754		0.000000
achlioptas	16		0.009168	0.041978	0.716529	0.279824	3.010110	2.931754		0.000000
achlioptas	16		0.009176	0.043541	0.704681	0.271153	2.681572	2.931754		0.000000
achlioptas	16		0.009572	0.042145	0.709648	0.273958	2.905013	2.931754		0.000000
achlioptas	16		0.009208	0.038978	0.702266	0.274861	2.872976	2.931754		0.000000
achlioptas	16		0.009034	0.042264	0.715295	0.275351	3.401231	2.931754		0.000000
achlioptas	16		0.009335	0.039056	0.709422	0.280183	2.784127	2.931754		0.000000
Method		Dimension	Matrix (sec)	Proj (sec)	Distance (sec)	Avg Distortion	Max Distortion	Theoretical Distortion	Above Distortion
achlioptas	64		0.043879	0.215686	2.676396	0.000588	1.156098	1.465877		0.000000
achlioptas	64		0.040773	0.247407	2.630837	0.139903	1.091885	1.465877		0.000000
achlioptas	64		0.041361	0.255508	2.608285	0.140106	1.059697	1.465877		0.000000
achlioptas	64		0.040496	0.239794	2.648063	0.141475	1.101830	1.465877		0.000000
achlioptas	64		0.040267	0.204293	2.636765	0.136552	1.079520	1.465877		0.000000
achlioptas	64		0.042547	0.210307	2.632109	0.138574	1.161805	1.465877		0.000000
achlioptas	64		0.039373	0.205424	2.625089	0.140090	1.167048	1.465877		0.000000
achlioptas	64		0.040219	0.210674	2.650746	0.141333	1.135664	1.465877		0.000000
achlioptas	64		0.042455	0.216983	2.633907	0.139996	1.056541	1.465877		0.000000
achlioptas	64		0.040960	0.241249	2.602872	0.139975	1.227046	1.465877		0.000000
Method		Dimension	Matrix (sec)	Proj (sec)	Distance (sec)	Avg Distortion	Max Distortion	Theoretical Distortion	Above Distortion
achlioptas	256		0.170932	1.584767	10.583442	0.000296	0.465556	0.732939		0.000000
achlioptas	256		0.168255	1.532974	10.476144	0.069569	0.504885	0.732939		0.000000
achlioptas	256		0.168865	1.574870	10.334113	0.069501	0.551352	0.732939		0.000000
achlioptas	256		0.170467	1.582876	10.419451	0.069230	0.550084	0.732939		0.000000
achlioptas	256		0.164548	1.618542	10.734922	0.070342	0.537880	0.732939		0.000000
achlioptas	256		0.162285	1.634387	11.180579	0.069474	0.480095	0.732939		0.000000
achlioptas	256		0.196647	1.671752	10.850190	0.070386	0.496231	0.732939		0.000000
achlioptas	256		0.177256	1.552363	10.222248	0.069540	0.485988	0.732939		0.000000
achlioptas	256		0.173168	1.645629	10.330329	0.068632	0.526146	0.732939		0.000000
achlioptas	256		0.166111	1.566708	10.399720	0.068244	0.482824	0.732939		0.000000
Method		Dimension	Matrix (sec)	Proj (sec)	Distance (sec)	Avg Distortion	Max Distortion	Theoretical Distortion	Above Distortion
achlioptas	1024		0.656581	7.940291	41.403351	0.000146	0.227883	0.366469		0.000000
achlioptas	1024		0.685250	7.968107	41.592987	0.034945	0.256199	0.366469		0.000000
achlioptas	1024		0.687890	7.718752	45.715256	0.034494	0.218716	0.366469		0.000000
achlioptas	1024		0.736419	8.507797	46.197823	0.034552	0.239224	0.366469		0.000000
achlioptas	1024		0.772225	8.379949	45.633537	0.035690	0.218830	0.366469		0.000000
achlioptas	1024		0.759682	8.387595	43.836723	0.034446	0.242797	0.366469		0.000000
achlioptas	1024		0.743163	8.527755	46.074409	0.035238	0.248708	0.366469		0.000000
achlioptas	1024		0.735252	8.436667	46.022739	0.035299	0.242568	0.366469		0.000000
achlioptas	1024		0.727811	7.988612	46.147991	0.034861	0.230510	0.366469		0.000000
achlioptas	1024		0.736822	8.369064	46.570240	0.035055	0.234185	0.366469		0.000000
Method		Dimension	Matrix (sec)	Proj (sec)	Distance (sec)	Avg Distortion	Max Distortion	Theoretical Distortion	Above Distortion
achlioptas	4096		3.015344	34.452888	183.119385	0.000074	0.114635	0.183235		0.000000
achlioptas	4096		2.678559	31.701485	166.748672	0.017739	0.113689	0.183235		0.000000
achlioptas	4096		2.687826	31.589413	165.351425	0.017478	0.116072	0.183235		0.000000
achlioptas	4096		2.887154	35.710159	189.384201	0.017545	0.118565	0.183235		0.000000
achlioptas	4096		3.095661	34.631432	181.575546	0.017052	0.115157	0.183235		0.000000
achlioptas	4096		3.338164	35.353088	191.665085	0.017281	0.114153	0.183235		0.000000
achlioptas	4096		3.121144	34.994289	184.179459	0.017648	0.109624	0.183235		0.000000
achlioptas	4096		2.935048	34.090923	175.826309	0.017603	0.115309	0.183235		0.000000
achlioptas	4096		2.922597	33.235909	171.550201	0.017616	0.114143	0.183235		0.000000
achlioptas	4096		2.792715	32.928982	172.426437	0.017506	0.116731	0.183235		0.000000
Method		Dimension	Matrix (sec)	Proj (sec)	Distance (sec)	Avg Distortion	Max Distortion	Theoretical Distortion	Above Distortion
achlioptas	16384		11.080890	134.231537	717.227234	0.000037	0.056774	0.091617		0.000000
achlioptas	16384		10.728927	129.374069	662.692566	0.008652	0.057936	0.091617		0.000000
achlioptas	16384		10.877702	129.361847	662.996155	0.008834	0.059751	0.091617		0.000000
achlioptas	16384		10.815575	129.109985	663.508301	0.008853	0.067058	0.091617		0.000000
achlioptas	16384		10.817053	129.438629	664.315369	0.008673	0.054241	0.091617		0.000000
achlioptas	16384		10.867883	129.275070	663.580750	0.008709	0.053986	0.091617		0.000000
achlioptas	16384		10.830138	129.243668	662.740784	0.008707	0.056895	0.091617		0.000000
achlioptas	16384		10.853066	129.290298	663.041016	0.008885	0.053704	0.091617		0.000000
achlioptas	16384		10.863578	128.814590	663.084290	0.008757	0.056546	0.091617		0.000000
achlioptas	16384		10.830432	129.433456	664.447571	0.008697	0.067901	0.091617		0.000000
